"Номер в оригинальном списке " Name "Corotation rad" Единицы "Ошибка снизу" "Ошибка сверху" "Dist, Mpc" Data "Pattern speed, (km/s/kpc)" "Ошибка снизу" "Ошибка сверху" "Это бар?" Method Ссылка
" "Shu et al. (1971)
" "https://ui.adsabs.harvard.edu/abs/1971ApJ...166..465S/abstract
"
[131] "NGC 3031" 533.115 arcsec 0.00 0.00 "3.25
(Mpc)" "H I
" "23.4
(km/s/kpc)" 2.2999999999999998 2.2999999999999998 "нет
" "Westpfahl (1998)
" "https://ui.adsabs.harvard.edu/abs/1998ApJS..115..203W/abstract
"
[99] "NGC 3359" 20 arcsec 0.00 0.00 "13.4
(Mpc)" "H II
" "27
(km/s/kpc)" 0 0 "нет
" "Rozas (2008)
" "https://ui.adsabs.harvard.edu/abs/2008RMxAA..44...71R/abstract
"
[51] "NGC 4254" 10.491 arcsec 0.1345 0.1346 "16
(Mpc)" "H I
" "16.45
(km/s/kpc)" 0.75 0.75 "нет
" "Gonzalez & Graham (1996)
" "https://ui.adsabs.harvard.edu/abs/1996ApJ...460..651G/abstract
"
[105] "NGC 4321" 97.976 arcsec 15.5 15.5 "20
(Mpc)" "H I
" "20
(km/s/kpc)" 0 0 "NaN
" "Sempere et al. (95 a)
" "https://ui.adsabs.harvard.edu/abs/1995A%26A...296...45S/abstract
"
[105] "NGC 4321" 113.45 arcsec 0.00 0.00 "20
(Mpc)" "H I
" "20
(km/s/kpc)" 0 0 "NaN
" "Sempere et al. (95 a)
" "https://ui.adsabs.harvard.edu/abs/1995A%26A...296...45S/abstract
"
[44] "NGC 4321" 14.47 arcsec 0.00 0.00 "17.1
(Mpc)" "CO
" "160
(km/s/kpc)" 0 0 "нет
" "Garcia-Burillo et al. (1998)
" "https://ui.adsabs.harvard.edu/abs/1998A%26A...333..864G/abstract
"
[44] "NGC 4321" 102.53 arcsec 6.0 6.0 "17.1
(Mpc)" "CO
" "23
(km/s/kpc)" 0 0 "да
" "Garcia-Burillo et al. (1998)
" "https://ui.adsabs.harvard.edu/abs/1998A%26A...333..864G/abstract
"
[55] "NGC 4321" 44 arcsec 0.00 0.00 "16.1
(Mpc)" "H alpha
" "4.3
(km/s/arsec)" 1 1 "NaN
" "Hernandez et al. (2005) 
" "https://ui.adsabs.harvard.edu/abs/2005ApJ...632..253H/abstract
"
[55] "NGC 4321" 97 arcsec 0.00 0.00 "16.1
(Mpc)" "H alpha
" "2.30
(km/s/arsec)" 0.18 0.18 "да
" "Hernandez et al. (2005) 
" "https://ui.adsabs.harvard.edu/abs/2005ApJ...632..253H/abstract
"
[55] "NGC 4321" 130 arcsec 0.00 0.00 "16.1
(Mpc)" "H alpha
" "1.6
(km/s/arsec)" 0.06 0.06 "нет
" "Hernandez et al. (2005) 
" "https://ui.adsabs.harvard.edu/abs/2005ApJ...632..253H/abstract
"
[50] NGC4736 252 arcsec 0.00 0.00 "6.3
(Mpc)" "H II
" "1.35
(km/s/arcsec)" 0 0 "NaN
" "Gerin et al. (1991)
" "https://ui.adsabs.harvard.edu/abs/1991A%26A...251...32G/abstract
"
[132] "NGC 4736" 26 arcsec 0.00 0.00 "6.6
(Mpc)" "CO
" "400
(km/s/kpc)" 0 0 "нет
" "Wong & Blitz (2000)
" "https://ui.adsabs.harvard.edu/abs/2000ApJ...540..771W/abstract
"
[78] "NGC 4736" 25 arcsec 0.00 0.00 "6.6
(Mpc)" "H alpha, H I
" "290 (km/s/kpc)" 0 0 "нет
" "Moellenhoff et al. (1995)
" "https://ui.adsabs.harvard.edu/abs/1995A%26A...301..359M/abstract
"
[33] "NGC 3031" 534 arcsec 0.00 0.00 "3.25
(Mpc)" "NaN
" "26
(km/s/kpc)" 0 0 "нет
" "Elmegreen et al. (1989) 
" "https://ui.adsabs.harvard.edu/abs/1989ApJ...343..602E/abstract
"
[33] "NGC 4321" 123.12 arcsec 0.00 0.00 "20
(Mpc)" "NaN
" "26
(km/s/kpc)" 0 0 "нет
" "Elmegreen et al. (1989) 
" "https://ui.adsabs.harvard.edu/abs/1989ApJ...343..602E/abstract
"
[33] "NGC 5194" 123.916 arcsec 0.00 0.00 "4
(Mpc)" "NaN
" "90
(km/s/kpc)" 0 0 "нет
" "Elmegreen et al. (1989) 
" "https://ui.adsabs.harvard.edu/abs/1989ApJ...343..602E/abstract
"
[119] "NGC 5194" 123.759 arcsec 0.00 0.00 "4
(Mpc)" "H alpha
" "90
(km/s/kpc)" 0 0 "нет
" "Tully (1974)
" "https://ui.adsabs.harvard.edu/abs/1974ApJS...27..449T/abstract
"
[46] "NGC 5194" 158.996 arcsec 0.00 0.00 "9.6
(Mpc)" "CO
" "27
(km/s/kpc)" 0 0 "нет
" "Garcia-Burillo et al. (93 b)
" "https://ui.adsabs.harvard.edu/abs/1993A%26A...274..148G/abstract
"
[103] "NGC 5194" 100 arcsec 0.00 0.00 "9.6
(Mpc)" "H I
" "50
(km/s/kpc)" 0 0 "нет
" "Salo & Laurikainen (2000)
" "https://ui.adsabs.harvard.edu/abs/2000MNRAS.319..393S/abstract
"
[69] "NGC 5236 " 145 arcsec 5.00 5.00 "5
(Mpc)" "H alpha
" "51
(km/s/kpc)" 3 3 "нет
" "Lord & Kenney (1991) 
" "https://ui.adsabs.harvard.edu/abs/1991ApJ...381..118K/abstract
"
[56] "NGC 5236 " 180 arcsec 0.00 0.00 "3.75
(Mpc)" "H alpha
" "67
(km/s/kpc)" 0 0 "нет
" "Jensen et al. (1981)
" "https://ui.adsabs.harvard.edu/abs/1981ApJ...243..716J/abstract
"
[118] "NGC 6946" 54 arcsec 0.00 0.00 "5.5
(Mpc)" "H alpha
" "21.7 
(km/s/kpc)" 0.80 4 "NaN
" "Toonen et al. (2008)
" "https://ui.adsabs.harvard.edu/abs/2008ASPC..390..322T/abstract
"
[123] "NGC 266" 42 arcsec 0.00 0.00 "NaN
" "NaN
" "NaN
" 0 0 "NaN
" "Vera-Villamizar et al. (2003)
" "https://ui.adsabs.harvard.edu/abs/2003RMxAC..17..201V/abstract
"
[123] "NGC 1530" 77 arcsec 0.00 0.00 "NaN
" "NaN
" "NaN
" 0 0 "NaN
" "Vera-Villamizar et al. (2003)
" "https://ui.adsabs.harvard.edu/abs/2003RMxAC..17..201V/abstract
"
[123] "NGC 2543" 27 arcsec 0.00 0.00 "NaN
" "NaN
" "NaN
" 0 0 "NaN
" "Vera-Villamizar et al. (2003)
" "https://ui.adsabs.harvard.edu/abs/2003RMxAC..17..201V/abstract
"
[123] "NGC 2543" 46 arcsec 0.00 0.00 "NaN
" "NaN
" "NaN
" 0 0 "NaN
" "Vera-Villamizar et al. (2003)
" "https://ui.adsabs.harvard.edu/abs/2003RMxAC..17..201V/abstract
"
[123] "NGC 5020" 48 arcsec 0.00 0.00 "NaN
" "NaN
" "NaN
" 0 0 "NaN
" "Vera-Villamizar et al. (2003)
" "https://ui.adsabs.harvard.edu/abs/2003RMxAC..17..201V/abstract
"
[123] "NGC 7479" 18 arcsec 0.00 0.00 "NaN
" "NaN
" "NaN
" 0 0 "NaN
" "Vera-Villamizar et al. (2003)
" "https://ui.adsabs.harvard.edu/abs/2003RMxAC..17..201V/abstract
"
[123] "NGC 7479" 44 arcsec 0.00 0.00 "NaN
